c\b	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	0.518432159386	[]	[]	[]	[]
3	1	[]	[]	[]	[]	0.623762950111	[]	[]	[]	[]
4	0	[]	[]	[]	0.550239193171	0.540970022089	0.51170699081	[]	[]	[]
4	1	[]	[]	[]	0.624360946335	0.589331027122	0.630998130964	[]	[]	[]
5	0	[]	[]	[]	[]	0.52301270412	[]	[]	[]	[]
5	1	[]	[]	[]	[]	0.624627562353	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
