b\a	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	0.750125276193	[]	[]	[]	[]
1	1	[]	[]	[]	[]	0.667109609212	[]	[]	[]	[]
2	0	[]	[]	[]	0.636858026118	0.600484866669	0.579144661244	[]	[]	[]
2	1	[]	[]	[]	0.571366115198	0.564084563032	0.590738259326	[]	[]	[]
3	0	[]	[]	0.583364757078	0.547940287423	0.524196509857	0.523366018721	0.53068944706	[]	[]
3	1	[]	[]	0.537063001096	0.51847217076	0.519912052644	0.534676202012	0.573200077455	[]	[]
4	0	[]	0.565362721924	0.530429772736	0.499251700654	0.491674377254	0.493173711556	0.500691518172	0.518432159386	[]
4	1	[]	0.553197420086	0.521877300758	0.510770354092	0.511881942658	0.524017535311	0.565011324296	0.623762950111	[]
5	0	[]	[]	0.545606244065	0.523686184862	0.516292314507	0.514732807439	0.522033418708	[]	[]
5	1	[]	[]	0.55955292517	0.543237140892	0.542919051306	0.572852246441	0.628390223338	[]	[]
6	0	[]	[]	[]	0.582759238514	0.566255794054	0.567589716269	[]	[]	[]
6	1	[]	[]	[]	0.594763829802	0.610566356222	0.658616198154	[]	[]	[]
7	0	[]	[]	[]	[]	0.670979677403	[]	[]	[]	[]
7	1	[]	[]	[]	[]	0.75117837014	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
