b\a	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	0.754812198007	[]	[]	[]	[]
3	1	[]	[]	[]	[]	0.681576409471	[]	[]	[]	[]
4	0	[]	[]	[]	0.656541579046	0.625827671519	0.60942084148	[]	[]	[]
4	1	[]	[]	[]	0.622107307825	0.631225118863	0.672912803038	[]	[]	[]
5	0	[]	[]	[]	[]	0.684052962177	[]	[]	[]	[]
5	1	[]	[]	[]	[]	0.75472196082	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
