c\b	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	0.656541579046	[]	[]	[]	[]
1	1	[]	[]	[]	[]	0.622107307825	[]	[]	[]	[]
2	0	[]	[]	[]	0.643900727949	0.57530698721	0.593772048999	[]	[]	[]
2	1	[]	[]	[]	0.587923906792	0.564121029128	0.598653565962	[]	[]	[]
3	0	[]	[]	0.636858026118	0.547940287423	0.499251700654	0.523686184862	0.582759238514	[]	[]
3	1	[]	[]	0.571366115198	0.51847217076	0.510770354092	0.543237140892	0.594763829802	[]	[]
4	0	[]	0.649273255604	0.558830036604	0.445780290969	0.232641907409	0.468582081693	0.543060874998	0.599921888874	[]
4	1	[]	0.591231579495	0.526535218653	0.276312681995	0.276895502921	0.515896508669	0.56136256122	0.607029068445	[]
5	0	[]	[]	0.6350826045	0.545786394335	0.497446513323	0.523496206998	0.583529071783	[]	[]
5	1	[]	[]	0.570248882705	0.517301268826	0.509785520065	0.54381292646	0.595839275338	[]	[]
6	0	[]	[]	[]	0.6429541929	0.574703190488	0.593700498192	[]	[]	[]
6	1	[]	[]	[]	0.587616221754	0.563973600071	0.598957116382	[]	[]	[]
7	0	[]	[]	[]	[]	0.656242119907	[]	[]	[]	[]
7	1	[]	[]	[]	[]	0.621963321835	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
