a\c	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	0.649273255604	[]	[]	[]	[]
3	1	[]	[]	[]	[]	0.591231579495	[]	[]	[]	[]
4	0	[]	[]	[]	0.750125276193	0.617313014197	0.749343764326	[]	[]	[]
4	1	[]	[]	[]	0.667109609212	0.584993011658	0.666168950708	[]	[]	[]
5	0	[]	[]	[]	[]	0.596872812977	[]	[]	[]	[]
5	1	[]	[]	[]	[]	0.614286611272	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
