b\a	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	0.749576697104	[]	[]	[]	[]
2	1	[]	[]	[]	[]	0.667546624108	[]	[]	[]	[]
3	0	[]	[]	[]	0.643900727949	0.607611875579	0.585301265653	[]	[]	[]
3	1	[]	[]	[]	0.587923906792	0.579135160009	0.603554265501	[]	[]	[]
4	0	[]	[]	0.601513323821	0.57530698721	0.552935015166	0.549873741496	0.557298639485	[]	[]
4	1	[]	[]	0.584191485624	0.564121029128	0.5630370169	0.591091800708	0.639070561913	[]	[]
5	0	[]	[]	[]	0.593772048999	0.577068185837	0.577935798923	[]	[]	[]
5	1	[]	[]	[]	0.598653565962	0.614313058961	0.661835694508	[]	[]	[]
6	0	[]	[]	[]	[]	0.670678485179	[]	[]	[]	[]
6	1	[]	[]	[]	[]	0.750171221664	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
