b\a	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	0.754670586084	[]	[]	[]	[]
3	1	[]	[]	[]	[]	0.681365468091	[]	[]	[]	[]
4	0	[]	[]	[]	0.656242119907	0.625768578095	0.609576444611	[]	[]	[]
4	1	[]	[]	[]	0.621963321835	0.631115904544	0.672742447927	[]	[]	[]
5	0	[]	[]	[]	[]	0.684148121968	[]	[]	[]	[]
5	1	[]	[]	[]	[]	0.754695445814	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
