c\b	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	0.557298639485	[]	[]	[]	[]
2	1	[]	[]	[]	[]	0.639070561913	[]	[]	[]	[]
3	0	[]	[]	[]	0.53068944706	0.500691518172	0.522033418708	[]	[]	[]
3	1	[]	[]	[]	0.573200077455	0.565011324296	0.628390223338	[]	[]	[]
4	0	[]	[]	0.557914558784	0.512672438298	0.466525234699	0.476872099933	0.532799144822	[]	[]
4	1	[]	[]	0.603872284663	0.56319085114	0.523969842785	0.568574439629	0.637732587582	[]	[]
5	0	[]	[]	[]	0.53251767833	0.504021841813	0.525527292804	[]	[]	[]
5	1	[]	[]	[]	0.573809422943	0.566157697408	0.629305160743	[]	[]	[]
6	0	[]	[]	[]	[]	0.558247165341	[]	[]	[]	[]
6	1	[]	[]	[]	[]	0.639046169154	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
