b\a	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	0.589721053518	[]	[]	[]
2	0	[]	[]	0.507944222078	0.492804852365	0.519148525436	[]	[]
3	0	[]	0.552718917948	0.487887648906	0.454511995083	0.467159529586	0.535188781487	[]
4	0	[]	[]	0.527576308321	0.481883136959	0.483872025808	[]	[]
5	0	[]	[]	[]	0.572996155212	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
