a\c	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	0.528340142687	[]	[]	[]
3	0	[]	[]	0.589721053518	0.494845478656	0.572996155212	[]	[]
4	0	[]	[]	[]	0.480924490317	[]	[]	[]
5	0	[]	[]	[]	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
