b\a	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]
1	2	[]	[]	[]	[]	[]	[]	[]
1	3	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	11.8620739872	[]	[]	[]
2	1	[]	[]	[]	9.28726180115	[]	[]	[]
2	2	[]	[]	[]	0.346564936334	[]	[]	[]
2	3	[]	[]	[]	0.0591080991428	[]	[]	[]
3	0	[]	[]	-2.30730567317	5.46446799821	-2.2747245846	[]	[]
3	1	[]	[]	0.567676547454	2.72955262567	0.429116756659	[]	[]
3	2	[]	[]	0.777239835394	-0.0543495916785	0.808725842999	[]	[]
3	3	[]	[]	-0.795806085941	-0.297894010027	-1.13213997169	[]	[]
4	0	[]	[]	[]	7.72568432311	[]	[]	[]
4	1	[]	[]	[]	3.172140394	[]	[]	[]
4	2	[]	[]	[]	-0.41598981981	[]	[]	[]
4	3	[]	[]	[]	-0.491081916598	[]	[]	[]
5	0	[]	[]	[]	[]	[]	[]	[]
5	1	[]	[]	[]	[]	[]	[]	[]
5	2	[]	[]	[]	[]	[]	[]	[]
5	3	[]	[]	[]	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
6	2	[]	[]	[]	[]	[]	[]	[]
6	3	[]	[]	[]	[]	[]	[]	[]
