b\a	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	-0.204241001637	[]	[]	[]
1	1	[]	[]	[]	7.50224198707	[]	[]	[]
1	2	[]	[]	[]	0.120102975789	[]	[]	[]
1	3	[]	[]	[]	-1.79863664522	[]	[]	[]
2	0	[]	[]	-0.759202161817	1.53937913098	-0.724303309889	[]	[]
2	1	[]	[]	-1.90935176917	3.0663625771	-1.87648357784	[]	[]
2	2	[]	[]	0.198157465258	-1.7531770168	0.0815219352655	[]	[]
2	3	[]	[]	-0.918086172756	-0.544593930131	-1.39202151527	[]	[]
3	0	[]	-0.492401276494	-0.564213104022	1.53271147152	-0.561957962852	-0.502355261413	[]
3	1	[]	1.19935637315	-1.47122785035	1.93452393152	-1.45654886423	1.1646626597	[]
3	2	[]	1.2729825466	-1.45858346771	-1.02096361928	-2.39182514223	1.274025199	[]
3	3	[]	-0.572538794546	-0.387419740733	-0.652867506738	-0.341485629743	-0.559651255366	[]
4	0	[]	[]	-1.08433473308	-0.664423198979	-1.06267116755	[]	[]
4	1	[]	[]	0.763677636699	1.0139991038	0.689029567138	[]	[]
4	2	[]	[]	-0.554994192406	-0.550379823687	-0.929722144208	[]	[]
4	3	[]	[]	-0.301543216567	-0.460650024725	-0.185137949408	[]	[]
5	0	[]	[]	[]	0.639021300155	[]	[]	[]
5	1	[]	[]	[]	0.695485857953	[]	[]	[]
5	2	[]	[]	[]	-0.31648299477	[]	[]	[]
5	3	[]	[]	[]	-0.65890575433	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
6	2	[]	[]	[]	[]	[]	[]	[]
6	3	[]	[]	[]	[]	[]	[]	[]
