b\a	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]
1	2	[]	[]	[]	[]	[]	[]	[]
1	3	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]
2	2	[]	[]	[]	[]	[]	[]	[]
2	3	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	0.665785122852	[]	[]	[]
3	1	[]	[]	[]	2.11735881101	[]	[]	[]
3	2	[]	[]	[]	-0.0253118594832	[]	[]	[]
3	3	[]	[]	[]	0.555803048991	[]	[]	[]
4	0	[]	[]	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]	[]	[]
5	0	[]	[]	[]	[]	[]	[]	[]
5	1	[]	[]	[]	[]	[]	[]	[]
5	2	[]	[]	[]	[]	[]	[]	[]
5	3	[]	[]	[]	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
6	2	[]	[]	[]	[]	[]	[]	[]
6	3	[]	[]	[]	[]	[]	[]	[]
