a\c	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]
1	2	[]	[]	[]	[]	[]	[]	[]
1	3	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	0.323854657019	[]	[]	[]
2	1	[]	[]	[]	0.327031829987	[]	[]	[]
2	2	[]	[]	[]	-0.0053845974873	[]	[]	[]
2	3	[]	[]	[]	-1.194192759	[]	[]	[]
3	0	[]	[]	-0.204241001637	12.1063888026	2.90533796667	[]	[]
3	1	[]	[]	7.50224198707	1.40651892286	0.857557745563	[]	[]
3	2	[]	[]	0.120102975789	-1.02829626062	-0.860380525805	[]	[]
3	3	[]	[]	-1.79863664522	-1.68872742069	-0.255751871461	[]	[]
4	0	[]	[]	[]	0.191740654215	[]	[]	[]
4	1	[]	[]	[]	0.315904977917	[]	[]	[]
4	2	[]	[]	[]	-0.42414042838	[]	[]	[]
4	3	[]	[]	[]	-0.918618798055	[]	[]	[]
5	0	[]	[]	[]	[]	[]	[]	[]
5	1	[]	[]	[]	[]	[]	[]	[]
5	2	[]	[]	[]	[]	[]	[]	[]
5	3	[]	[]	[]	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
6	2	[]	[]	[]	[]	[]	[]	[]
6	3	[]	[]	[]	[]	[]	[]	[]
