a\c	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	2.44274880118	[]	[]	[]
0	1	[]	[]	[]	1.29822311861	[]	[]	[]
0	2	[]	[]	[]	1.40419292113	[]	[]	[]
0	3	[]	[]	[]	2.11896549598	[]	[]	[]
1	0	[]	[]	-0.492401276494	1.29006544044	0.789379997361	[]	[]
1	1	[]	[]	1.19935637315	0.0670622345131	0.323507233274	[]	[]
1	2	[]	[]	1.2729825466	0.00042443451777	0.78824484236	[]	[]
1	3	[]	[]	-0.572538794546	1.54050480283	0.723771381661	[]	[]
2	0	[]	-2.30730567317	-0.564213104022	0.572530011211	0.424458849097	0.426949438614	[]
2	1	[]	0.567676547454	-1.47122785035	-0.302584112476	-0.465051059062	0.0418972281369	[]
2	2	[]	0.777239835394	-1.45858346771	-0.288917710017	-1.10494434219	0.262403211022	[]
2	3	[]	-0.795806085941	-0.387419740733	-1.47123182415	0.769905957584	0.494075350439	[]
3	0	8.76598207995	5.46446799821	1.53271147152	0.0	-0.148235970146	0.822125629292	0.665785122852
3	1	6.69964510005	2.72955262567	1.93452393152	-0.903938075794	-1.74700725225	-0.579608850752	2.11735881101
3	2	0.518498827148	-0.0543495916785	-1.02096361928	-0.768657335628	-0.67591016019	-0.455349933037	-0.0253118594832
3	3	-0.838506002389	-0.297894010027	-0.652867506738	-1.74600094153	0.477514322607	0.604777044563	0.555803048991
4	0	[]	-2.2747245846	-0.561957962852	0.510979799133	0.446599089661	0.442261797524	[]
4	1	[]	0.429116756659	-1.45654886423	-0.348753252964	-0.539086566041	0.0694039029705	[]
4	2	[]	0.808725842999	-2.39182514223	-0.0956629403938	-0.8650892782	-0.0245740537245	[]
4	3	[]	-1.13213997169	-0.341485629743	-1.27209194792	0.797520958973	0.542944564445	[]
5	0	[]	[]	-0.502355261413	1.2644673596	0.775558408291	[]	[]
5	1	[]	[]	1.1646626597	0.0565098600847	0.3098090028	[]	[]
5	2	[]	[]	1.274025199	0.0126329726798	0.807851149815	[]	[]
5	3	[]	[]	-0.559651255366	1.5554670947	0.734085116312	[]	[]
6	0	[]	[]	[]	2.43655301443	[]	[]	[]
6	1	[]	[]	[]	1.28663507189	[]	[]	[]
6	2	[]	[]	[]	1.3966555055	[]	[]	[]
6	3	[]	[]	[]	2.11708496799	[]	[]	[]
