a\c	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	0.272521291503	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	0.555701871123	0.196556091065	0.532470239775	[]	[]	[]	[]
2	0	[]	[]	[]	0.663206377519	0.507013252653	0.212384028433	0.466055141444	0.654139902976	[]	[]	[]
3	0	[]	[]	0.713766139483	0.624657084116	0.505411567122	0.2710474918	0.462414600275	0.614915542567	0.707663390944	[]	[]
4	0	[]	0.773550559868	0.67749411871	0.617163235006	0.516586089965	0.181652335051	0.484857841876	0.610799746775	0.67414475649	0.770647658821	[]
5	0	0.88743657789	0.735153739259	0.668864839561	0.613560557674	0.50882339639	0.0	0.50882339639	0.613560557674	0.668864839561	0.735153739259	0.88743657789
6	0	[]	0.770647658821	0.67414475649	0.610799746775	0.484857841876	0.181652335051	0.516586089965	0.617163235006	0.67749411871	0.773550559868	[]
7	0	[]	[]	0.707663390944	0.614915542567	0.462414600275	0.2710474918	0.505411567122	0.624657084116	0.713766139483	[]	[]
8	0	[]	[]	[]	0.654139902976	0.466055141444	0.212384028433	0.507013252653	0.663206377519	[]	[]	[]
9	0	[]	[]	[]	[]	0.532470239775	0.196556091065	0.555701871123	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	0.272521291503	[]	[]	[]	[]	[]
