c\b	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	0.88743657789	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	0.789344951354	0.735153739259	0.789709788599	[]	[]	[]	[]
2	0	[]	[]	[]	0.74770540474	0.68500352993	0.668864839561	0.683088664411	0.745298097281	[]	[]	[]
3	0	[]	[]	0.718384023971	0.64392126798	0.62039262159	0.613560557674	0.616739611845	0.637438543229	0.710537014852	[]	[]
4	0	[]	0.675826891175	0.568018649517	0.521506102147	0.511581730195	0.50882339639	0.497239731413	0.507120066897	0.554216739031	0.658554677408	[]
5	0	0.570508983542	0.431054371739	0.349069423931	0.319856603364	0.205223070946	0.0	0.205223070946	0.319856603364	0.349069423931	0.431054371739	0.570508983542
6	0	[]	0.658554677408	0.554216739031	0.507120066897	0.497239731413	0.50882339639	0.511581730195	0.521506102147	0.568018649517	0.675826891175	[]
7	0	[]	[]	0.710537014852	0.637438543229	0.616739611845	0.613560557674	0.62039262159	0.64392126798	0.718384023971	[]	[]
8	0	[]	[]	[]	0.745298097281	0.683088664411	0.668864839561	0.68500352993	0.74770540474	[]	[]	[]
9	0	[]	[]	[]	[]	0.789709788599	0.735153739259	0.789344951354	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	0.88743657789	[]	[]	[]	[]	[]
