c\b	mol	0	1	2	3	4
0	0	[]	[]	2.6314258627	[]	[]
0	1	[]	[]	2.94420419035	[]	[]
0	2	[]	[]	2.75987369277	[]	[]
0	3	[]	[]	2.33542280285	[]	[]
1	0	[]	2.36444204337	1.8106134875	2.29892944959	[]
1	1	[]	2.54313300769	2.46484121017	2.85659794919	[]
1	2	[]	2.70103515232	2.2250767692	2.59141587801	[]
1	3	[]	2.18605944086	2.08897128222	2.33483527096	[]
2	0	2.89407700717	1.81329033771	0.0	1.68360243499	2.75112909149
2	1	2.62580447578	1.22495364699	0.983868327664	2.17151205062	2.87626723132
2	2	2.85943882401	2.23127610562	2.10700762231	2.1711567358	2.74193880565
2	3	2.717559701	2.09645580554	2.07550660633	2.23507248255	2.91559602687
3	0	[]	2.83575629305	1.94747184092	2.60916916222	[]
3	1	[]	1.40295627937	0.971303450155	2.24086252257	[]
3	2	[]	2.35933782676	2.14986200498	2.29038709344	[]
3	3	[]	2.61173762927	2.21964116643	2.7826641942	[]
4	0	[]	[]	3.02931586175	[]	[]
4	1	[]	[]	2.55299662806	[]	[]
4	2	[]	[]	2.41303776262	[]	[]
4	3	[]	[]	2.82642443791	[]	[]
