c\b	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
1	0	[]	[]	0.487968538394	[]	[]
2	0	[]	0.417233058407	0.243957617686	0.306419910773	[]
3	0	[]	[]	0.471617707636	[]	[]
4	0	[]	[]	[]	[]	[]
