b\a	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	0.714459789108	[]	[]	[]
0	1	[]	[]	[]	0.642631660165	[]	[]	[]
1	0	[]	[]	0.600931370072	0.575062907349	0.555845928924	[]	[]
1	1	[]	[]	0.536795804004	0.532211531791	0.57594226681	[]	[]
2	0	[]	0.527886663865	0.463689763907	0.450886171048	0.464643975323	0.511596197519	[]
2	1	[]	0.36556787779	0.267726278216	0.362401167393	0.4901727522	0.57970757107	[]
3	0	0.606551816793	0.500594828602	0.235475985132	0.0	0.2289453957	0.465193926601	0.54916028326
3	1	0.52845272898	0.391006272012	0.263994737924	0.320313020764	0.446023169897	0.538529614421	0.611810939066
4	0	[]	0.52898934366	0.465398390108	0.444218153189	0.431797896986	0.47387401487	[]
4	1	[]	0.530977911033	0.506404271055	0.493168998353	0.534264732036	0.596016675211	[]
5	0	[]	[]	0.560227023711	0.537641256527	0.532388903192	[]	[]
5	1	[]	[]	0.566274658413	0.578143067476	0.624220423941	[]	[]
6	0	[]	[]	[]	0.641201834624	[]	[]	[]
6	1	[]	[]	[]	0.713704803014	[]	[]	[]
