c\b	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	0.720860185801	[]	[]	[]
0	1	[]	[]	[]	0.720510067533	[]	[]	[]
1	0	[]	[]	0.706743566259	0.576758998128	0.635827647054	[]	[]
1	1	[]	[]	0.63317746557	0.582592177944	0.707243995093	[]	[]
2	0	[]	0.700946439791	0.547122520607	0.480781862345	0.514640723279	0.622453717404	[]
2	1	[]	0.616492257187	0.513637287631	0.496222021687	0.560733058595	0.704094372213	[]
3	0	0.714459789108	0.575062907349	0.450886171048	0.0	0.444218153189	0.537641256527	0.641201834624
3	1	0.642631660165	0.532211531791	0.362401167393	0.320313020764	0.493168998353	0.578143067476	0.713704803014
4	0	[]	0.699802525354	0.546056796492	0.480821977029	0.516002508627	0.624108208771	[]
4	1	[]	0.615383222746	0.513031011579	0.496090937394	0.561897756203	0.70501850027	[]
5	0	[]	[]	0.70632800513	0.576651908346	0.636226703339	[]	[]
5	1	[]	[]	0.632872779168	0.582608235809	0.707488578684	[]	[]
6	0	[]	[]	[]	0.720761280279	[]	[]	[]
6	1	[]	[]	[]	0.720381280434	[]	[]	[]
