a\c	mol	0	1	2
0	0	[]	113.411763724	[]
0	1	[]	62.446477546	[]
1	0	73.9744721515	0.0	73.9744721515
1	1	79.8716675061	55.8491358348	79.8716675061
2	0	[]	107.832202068	[]
2	1	[]	97.7676169193	[]
