c\b	mol	0	1	2	3	4
0	0	[]	[]	99.7515934283	[]	[]
0	1	[]	[]	100.254542039	[]	[]
1	0	[]	90.2584181931	75.6562464402	90.2584181931	[]
1	1	[]	92.9295789668	82.330172948	92.9295789668	[]
2	0	99.7515934283	75.6562464402	0.0	75.6562464402	99.7515934283
2	1	100.254542039	82.330172948	57.749330346	82.330172948	100.254542039
3	0	[]	90.2584181931	75.6562464402	90.2584181931	[]
3	1	[]	92.9295789668	82.330172948	92.9295789668	[]
4	0	[]	[]	99.7515934283	[]	[]
4	1	[]	[]	100.254542039	[]	[]
