c\b	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
1	0	[]	[]	94.8849993356	[]	[]
1	1	[]	[]	101.187429388	[]	[]
2	0	[]	94.8849993356	111.545795697	94.8849993356	[]
2	1	[]	101.187429388	103.49250461	101.187429388	[]
3	0	[]	[]	94.8849993356	[]	[]
3	1	[]	[]	101.187429388	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
