c\b	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	1.35263664402	[]	[]	[]	[]
0	1	[]	[]	[]	[]	1.32952844012	[]	[]	[]	[]
1	0	[]	[]	[]	1.106998666	1.15386225165	1.38507231884	[]	[]	[]
1	1	[]	[]	[]	1.23861061587	1.14335848595	1.12530245164	[]	[]	[]
2	0	[]	[]	1.04818537004	0.989575241725	0.910982129004	1.00602882389	0.983561120212	[]	[]
2	1	[]	[]	0.98351906901	1.11400117969	1.00189952846	1.00275213452	0.96293361382	[]	[]
3	0	[]	0.944931391065	0.947774956893	0.857350081701	0.696501975884	1.00623453808	1.11812258364	0.936143768493	[]
3	1	[]	0.946450889165	1.2059273687	0.79133280619	0.701559784442	0.91778612259	0.888254571074	0.94458234763	[]
4	0	0.931731693375	0.755066777206	0.654841984184	0.0313076684435	0.0	0.0735700019143	0.696914543305	1.07641042437	1.01832815854
4	1	1.15592199948	0.938523186552	0.885593453794	0.477597421002	0.0132620508589	0.023823257355	0.595153765398	1.02652323238	0.929643008441
5	0	[]	0.974543887553	1.02566433626	0.908422451055	0.676161030273	0.973973813594	1.07733860363	0.946832335527	[]
5	1	[]	1.00135865433	1.27732958578	0.890050055377	0.773736278312	0.965279826732	0.887921565613	0.96768260481	[]
6	0	[]	[]	1.05390463816	0.991910725265	0.914071683068	1.00394552637	0.963852848611	[]	[]
6	1	[]	[]	0.996573188691	1.11998437757	1.01555637795	1.01313885612	0.96558486373	[]	[]
7	0	[]	[]	[]	1.11197702392	1.15925228081	1.39336956738	[]	[]	[]
7	1	[]	[]	[]	1.24810152328	1.14936347956	1.13244194134	[]	[]	[]
8	0	[]	[]	[]	[]	1.35827545044	[]	[]	[]	[]
8	1	[]	[]	[]	[]	1.33373078452	[]	[]	[]	[]
