c\b	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	1.09170175853	[]	[]	[]	[]
3	1	[]	[]	[]	[]	0.988546496847	[]	[]	[]	[]
4	0	[]	[]	[]	0.901711201222	0.969112693373	1.24015390557	[]	[]	[]
4	1	[]	[]	[]	1.00992241798	0.657117906115	0.969468817897	[]	[]	[]
5	0	[]	[]	[]	[]	1.04657031811	[]	[]	[]	[]
5	1	[]	[]	[]	[]	0.922115187696	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
