b\a	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	1.05390463816	[]	[]	[]	[]
2	1	[]	[]	[]	[]	0.996573188691	[]	[]	[]	[]
3	0	[]	[]	[]	1.03176129249	0.991910725265	1.00832991245	[]	[]	[]
3	1	[]	[]	[]	1.1495544543	1.11998437757	1.01232567819	[]	[]	[]
4	0	[]	[]	0.991263492377	1.17080120389	0.914071683068	1.07191243568	1.0217685794	[]	[]
4	1	[]	[]	1.29653041324	1.14461891663	1.01555637795	1.20584288531	0.856003753353	[]	[]
5	0	[]	[]	[]	1.19460843577	1.00394552637	1.34340142054	[]	[]	[]
5	1	[]	[]	[]	1.01640998001	1.01313885612	1.0750507999	[]	[]	[]
6	0	[]	[]	[]	[]	0.963852848611	[]	[]	[]	[]
6	1	[]	[]	[]	[]	0.96558486373	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
