a\c	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	1.01269506018	[]	[]	[]	[]
2	1	[]	[]	[]	[]	1.39471322698	[]	[]	[]	[]
3	0	[]	[]	[]	0.921057087363	0.863867821577	0.978628973785	[]	[]	[]
3	1	[]	[]	[]	0.661371234436	0.810008585342	0.647484441186	[]	[]	[]
4	0	[]	[]	0.983561120212	1.11812258364	0.696914543305	1.07733860363	0.963852848611	[]	[]
4	1	[]	[]	0.96293361382	0.888254571074	0.595153765398	0.887921565613	0.96558486373	[]	[]
5	0	[]	[]	[]	1.07260070828	0.793661345572	0.939576608721	[]	[]	[]
5	1	[]	[]	[]	0.994749168236	0.685855947555	0.916984507672	[]	[]	[]
6	0	[]	[]	[]	[]	1.19345932582	[]	[]	[]	[]
6	1	[]	[]	[]	[]	0.889128558497	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
