a\c	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	0.994137562072	[]	[]	[]	[]
1	1	[]	[]	[]	[]	1.37992335792	[]	[]	[]	[]
2	0	[]	[]	[]	0.900865456669	0.804676855861	1.00775597556	[]	[]	[]
2	1	[]	[]	[]	0.782908985219	1.18782497476	0.832858669125	[]	[]	[]
3	0	[]	[]	1.01738755776	0.608325639304	0.47858897527	0.676114641003	1.03176129249	[]	[]
3	1	[]	[]	1.13601331711	1.21364495808	0.698587674905	1.34139952345	1.1495544543	[]	[]
4	0	[]	1.106998666	0.989575241725	0.857350081701	0.0313076684435	0.908422451055	0.991910725265	1.11197702392	[]
4	1	[]	1.23861061587	1.11400117969	0.79133280619	0.477597421002	0.890050055377	1.11998437757	1.24810152328	[]
5	0	[]	[]	1.01115109494	0.993851544977	0.544377462197	0.971936302416	1.00832991245	[]	[]
5	1	[]	[]	1.0092093838	1.05980940688	0.588640686241	1.1010316966	1.01232567819	[]	[]
6	0	[]	[]	[]	0.84615468088	0.3982585834	0.802219071567	[]	[]	[]
6	1	[]	[]	[]	0.930608885458	0.524722890566	0.896469188778	[]	[]	[]
7	0	[]	[]	[]	[]	0.901711201222	[]	[]	[]	[]
7	1	[]	[]	[]	[]	1.00992241798	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
