a\c	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	1.05209615373	[]	[]	[]	[]
2	1	[]	[]	[]	[]	1.19711493568	[]	[]	[]	[]
3	0	[]	[]	[]	1.07910056431	0.701373054461	1.20854238827	[]	[]	[]
3	1	[]	[]	[]	1.11702579851	1.10974739449	1.25488777004	[]	[]	[]
4	0	[]	[]	1.04818537004	0.947774956893	0.654841984184	1.02566433626	1.05390463816	[]	[]
4	1	[]	[]	0.98351906901	1.2059273687	0.885593453794	1.27732958578	0.996573188691	[]	[]
5	0	[]	[]	[]	1.14045778039	0.77571805464	1.14292036869	[]	[]	[]
5	1	[]	[]	[]	0.859749223989	0.842116629859	0.882408513965	[]	[]	[]
6	0	[]	[]	[]	[]	0.985543856328	[]	[]	[]	[]
6	1	[]	[]	[]	[]	0.935884256504	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
