a\c	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	0.97594135084	[]	[]	[]	[]
3	1	[]	[]	[]	[]	1.18114401989	[]	[]	[]	[]
4	0	[]	[]	[]	0.936143768493	1.07641042437	0.946832335527	[]	[]	[]
4	1	[]	[]	[]	0.94458234763	1.02652323238	0.96768260481	[]	[]	[]
5	0	[]	[]	[]	[]	1.47811984771	[]	[]	[]	[]
5	1	[]	[]	[]	[]	0.995884178761	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
