c\b	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	1.13998081369	[]	[]	[]	[]
3	1	[]	[]	[]	[]	1.37054019161	[]	[]	[]	[]
4	0	[]	[]	[]	0.994137562072	1.02294878814	1.07877650683	[]	[]	[]
4	1	[]	[]	[]	1.37992335792	1.02280169736	0.935930702226	[]	[]	[]
5	0	[]	[]	[]	[]	1.19338123032	[]	[]	[]	[]
5	1	[]	[]	[]	[]	1.42883514233	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
