b\a	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	1.11197702392	[]	[]	[]	[]
3	1	[]	[]	[]	[]	1.24810152328	[]	[]	[]	[]
4	0	[]	[]	[]	1.02860084163	1.15925228081	1.20608187217	[]	[]	[]
4	1	[]	[]	[]	1.26868970867	1.14936347956	0.904629932283	[]	[]	[]
5	0	[]	[]	[]	[]	1.39336956738	[]	[]	[]	[]
5	1	[]	[]	[]	[]	1.13244194134	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
