b\a	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	1.04818537004	[]	[]	[]	[]
2	1	[]	[]	[]	[]	0.98351906901	[]	[]	[]	[]
3	0	[]	[]	[]	1.01738755776	0.989575241725	1.01115109494	[]	[]	[]
3	1	[]	[]	[]	1.13601331711	1.11400117969	1.0092093838	[]	[]	[]
4	0	[]	[]	0.966241989728	1.14799278596	0.910982129004	1.07789590048	1.04225214425	[]	[]
4	1	[]	[]	1.25798609673	1.11925006672	1.00189952846	1.19688331789	0.86671153418	[]	[]
5	0	[]	[]	[]	1.16310010818	1.00602882389	1.34707110973	[]	[]	[]
5	1	[]	[]	[]	0.988032917857	1.00275213452	1.07831396136	[]	[]	[]
6	0	[]	[]	[]	[]	0.983561120212	[]	[]	[]	[]
6	1	[]	[]	[]	[]	0.96293361382	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
