c\b	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	-3.18359914984	[]	[]	[]
2	1	[]	[]	[]	-3.93596409196	[]	[]	[]
3	0	[]	[]	-0.161812308567	-0.0132735216365	-4.41960908697	[]	[]
3	1	[]	[]	9.39649590577	-3.07711967636	-4.00209159419	[]	[]
4	0	[]	[]	[]	-3.27873065667	[]	[]	[]
4	1	[]	[]	[]	-4.09283848394	[]	[]	[]
5	0	[]	[]	[]	[]	[]	[]	[]
5	1	[]	[]	[]	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
