a\c	mol	0	1	2
0	0	[]	-0.438586522212	[]
0	1	[]	-1.71077336848	[]
0	2	[]	-1.75080261612	[]
0	3	[]	-0.651183992939	[]
1	0	-2.76167548404	0.0	-1.42045520393
1	1	-3.3810668656	-2.36416818841	-1.60407268835
1	2	-1.79722430658	-2.81910680254	-1.87788334304
1	3	-3.39908518282	-1.0548015823	-2.04587734715
2	0	[]	-0.461700301044	[]
2	1	[]	-1.63379264164	[]
2	2	[]	-1.53457922753	[]
2	3	[]	-0.808378050297	[]
