b\a	mol	0	1	2
0	0	[]	-1.05920572004	[]
0	1	[]	-1.41049619298	[]
0	2	[]	-1.52455928547	[]
0	3	[]	-0.729762620756	[]
1	0	-0.438586522212	0.0	-0.461700301044
1	1	-1.71077336848	-2.36416818841	-1.63379264164
1	2	-1.75080261612	-2.81910680254	-1.53457922753
1	3	-0.651183992939	-1.0548015823	-0.808378050297
2	0	[]	0.0538244184961	[]
2	1	[]	-3.29771450712	[]
2	2	[]	-2.49633859065	[]
2	3	[]	-2.24808298698	[]
