c\b	mol	0	1	2
0	0	[]	-2.76167548404	[]
0	1	[]	-3.3810668656	[]
0	2	[]	-1.79722430658	[]
0	3	[]	-3.39908518282	[]
1	0	-1.05920572004	0.0	0.0538244184961
1	1	-1.41049619298	-2.36416818841	-3.29771450712
1	2	-1.52455928547	-2.81910680254	-2.49633859065
1	3	-0.729762620756	-1.0548015823	-2.24808298698
2	0	[]	-1.42045520393	[]
2	1	[]	-1.60407268835	[]
2	2	[]	-1.87788334304	[]
2	3	[]	-2.04587734715	[]
