[[ 0.00155628  0.00258846  0.00025837]]
[[ 0.00124751  0.00168161  0.00042585]]
[[ 0.00159208  0.00206076  0.00091459]]
[[ 0.00091137  0.00072378  0.00137527]]
[[ 0.00065265  0.00041361  0.00060582]]
[[ 0.00075081  0.00050883  0.00044246]]
[[ 0.00105952  0.0008924   0.00031441]]
[[ 0.00119211  0.00161166 -0.00012605]]
[[  1.78420554e-04   3.56555230e-05   1.11411483e-03]]
[[ -2.07814002e-04  -4.85135905e-05   7.67189797e-04]]
[[-0.00030838 -0.00054199  0.00038816]]
[[ -2.93041206e-04  -3.61743513e-04   4.21710855e-05]]
[[ -1.23922145e-04  -3.65343743e-04  -6.23017426e-05]]
[[ -1.30628612e-05  -2.16949555e-04  -7.57169731e-05]]
[[  2.65643200e-06  -2.50994803e-04  -1.00378621e-04]]
[[  1.07918426e-04  -1.19920603e-04  -7.83462939e-05]]
[[ 0.00118099  0.00418147  0.00200704]]
[[ 0.00047649  0.00023167  0.00058374]]
[[ 0.00059538  0.00037648  0.0001573 ]]
[[ 0.00035025 -0.00035142  0.00160783]]
[[  2.66885222e-04  -4.63771418e-05   7.12978347e-04]]
[[ -5.19380504e-04   3.89322153e-05   1.10202758e-03]]
[[ -1.51698011e-04   4.08083794e-06   5.14842525e-04]]
[[-0.0004839  -0.00090009  0.00029042]]
[[-0.00024285 -0.00027861  0.00023191]]
[[ -3.60797144e-04  -5.26778135e-04  -3.48211322e-05]]
[[-0.00017121 -0.00033412  0.00012391]]
[[-0.00013684 -0.00049807 -0.00023851]]
[[ -1.59241827e-04  -2.19507525e-04  -6.04385283e-05]]
[[ -2.60963920e-05  -2.21263522e-04  -3.40067152e-05]]
[[  1.21977369e-05  -1.86970034e-04  -1.27651543e-04]]
[[-0.00010071 -0.00038961 -0.00012991]]
[[ -4.99501467e-05  -1.46483970e-04  -1.00715436e-04]]
[[  4.07330332e-05  -1.08729308e-04  -5.33796208e-05]]
[[  1.74549113e-04  -6.15304263e-05  -8.50662861e-05]]
[[  9.06968128e-05  -8.81336151e-05  -8.83760037e-05]]
[[ 0.00069097  0.00053    -0.00016294]]
[[ 0.00094042  0.0008134  -0.00061938]]
[[ 0.0006629   0.00048704 -0.00071064]]
[[ 0.00081697  0.00055231 -0.0010919 ]]
[[ 0.00106787  0.00135946 -0.00155473]]
[[ 0.0017509   0.00245828 -0.00108553]]
[[ 0.0011765   0.00153317 -0.00035677]]
[[ 0.00101033  0.00091588  0.00012784]]
[[  2.05195622e-04   1.05353789e-05  -8.08106662e-04]]
[[  6.19755094e-05  -4.12324526e-04  -4.56829948e-04]]
[[ -1.11799138e-05  -1.94528839e-04  -2.75618992e-04]]
[[ -6.52913395e-05  -2.60551943e-04  -1.81233092e-04]]
[[-0.00014748 -0.00014818 -0.00011481]]
[[ -1.35084184e-04  -7.00602227e-05  -1.68606108e-05]]
[[ -1.71640048e-04  -3.11487897e-06   2.69521784e-06]]
[[ -4.49032703e-05   1.23609797e-04   3.68658193e-05]]
[[ 0.00056174  0.00033256 -0.0005079 ]]
[[ 0.00098054  0.00179941 -0.00228447]]
[[ 0.0016002   0.00392535  0.0003825 ]]
[[ 0.000121    0.00011832 -0.0004833 ]]
[[  7.78207231e-05  -8.57166828e-05  -8.47830620e-04]]
[[  3.84516671e-05  -1.84917460e-04  -4.68968760e-04]]
[[-0.00012196 -0.00074171 -0.00050193]]
[[  2.39157725e-05  -1.54352623e-04  -2.47256538e-04]]
[[ -5.59169111e-05  -1.83267936e-04  -2.58722025e-04]]
[[ -9.50982235e-05  -1.47308866e-04  -1.92580052e-04]]
[[-0.00015408 -0.00039105 -0.00017152]]
[[ -6.36876276e-05  -1.50307084e-04  -9.52718878e-05]]
[[-0.00017361 -0.00021741 -0.00017331]]
[[ -2.19872363e-04  -6.56506646e-05   1.23895443e-04]]
[[ -1.10644224e-04  -5.38390070e-05  -3.46653420e-05]]
[[ -8.18324692e-05  -4.98117256e-05  -9.06020854e-06]]
[[ -2.74400606e-04  -8.25470465e-05  -3.23301045e-06]]
[[  8.18985199e-05   2.62819663e-04   8.25138587e-05]]
[[ -1.58190536e-05   3.50101403e-05   2.55167554e-05]]
[[ -3.83649774e-05   6.79661810e-05  -3.87987297e-06]]
[[ 0.00017286  0.00541259  0.00037588]]
[[ 0.00094158  0.00599793  0.00145924]]
[[  8.76048865e-05   4.66991936e-03   2.23523435e-03]]
[[ 0.00172806  0.00451608  0.00254575]]
[[ 0.00379343  0.00365329  0.00274338]]
[[ 0.00530573  0.00395358  0.00137528]]
[[ 0.00378747  0.00619493  0.00036893]]
[[ 0.00164233  0.00513556 -0.0003903 ]]
[[ 0.0015715   0.00356318  0.00250914]]
[[ 0.00053662  0.00442757  0.00270316]]
[[ 0.00060599  0.00256397  0.00284199]]
[[ 0.0001264   0.00245829  0.00249671]]
[[ 0.00013983  0.00166945  0.00241076]]
[[-0.00011271  0.0013989   0.00196485]]
[[  3.52610493e-06   1.11476202e-03   1.84194159e-03]]
[[ -5.59458370e-05   9.75516791e-04   1.74380655e-03]]
[[-0.00065904  0.0041172   0.00173908]]
[[ 0.00420249  0.00223238  0.00261932]]
[[ 0.00551127  0.00216781  0.00053313]]
[[ 0.00069533  0.00361158  0.00174007]]
[[ 0.00210561  0.00235071  0.0024423 ]]
[[  2.41420911e-06   3.69565133e-03   2.59394288e-03]]
[[ 0.00068547  0.00607267  0.00467945]]
[[ 0.00012965  0.0027726   0.00191651]]
[[ 0.00118097  0.0016683   0.0026513 ]]
[[-0.00012775  0.00240525  0.00254928]]
[[ 0.00031233  0.00307455  0.00327455]]
[[-0.00017041  0.00185293  0.00171012]]
[[ 0.00057516  0.00106847  0.00221142]]
[[ -2.28897831e-06   1.58400283e-03   2.27344904e-03]]
[[-0.00026678  0.00140968  0.00193545]]
[[-0.00022107  0.00126981  0.00137891]]
[[ 0.00031308  0.00070972  0.00170826]]
[[ 0.00012757  0.00112256  0.00188182]]
[[ -4.06348648e-05   1.14754627e-03   1.53561696e-03]]
[[-0.00016158  0.00093826  0.00205486]]
[[ 0.00442407  0.002797   -0.00059503]]
[[ 0.003575    0.00427478 -0.00035032]]
[[ 0.00480882  0.0041089  -0.00124468]]
[[ 0.00293466  0.00589826 -0.00225325]]
[[ 0.00016049  0.00535923 -0.00162382]]
