a\c	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	0.579024377147	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	0.557007159658	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	0.587024592207	0.538670790689	0.582972876905	[]	[]	[]	[]
2	1	[]	[]	[]	[]	0.557763067527	0.48649733157	0.556081526348	[]	[]	[]	[]
3	0	[]	[]	[]	0.623372993811	0.553826992912	0.487354958868	0.55093218931	0.622057654898	[]	[]	[]
3	1	[]	[]	[]	0.589867653624	0.532536889695	0.369336081837	0.530937914473	0.589432186924	[]	[]	[]
4	0	[]	[]	0.675431651464	0.593989794139	0.527679910989	0.44576443285	0.525949841826	0.593257858375	0.675086937447	[]	[]
4	1	[]	[]	0.620833730675	0.57500696569	0.523864472315	0.284146730824	0.522695784546	0.574702472701	0.620629489261	[]	[]
5	0	[]	0.784042901238	0.639576090722	0.573233518213	0.522761842258	0.45464699852	0.522163848996	0.572986405551	0.6394247661	0.784011087191	[]
5	1	[]	0.710882375769	0.611753670485	0.573481031979	0.526564746303	0.379824638038	0.526260045004	0.573322050563	0.611581053451	0.710702043129	[]
6	0	[]	[]	0.61712397987	0.569884796291	0.524315526516	0.471188338014	0.525023434555	0.570041391269	0.617148026792	[]	[]
6	1	[]	[]	0.635058487712	0.580288637941	0.538359304734	0.501654071576	0.539034266249	0.580288819823	0.634860567905	[]	[]
7	0	[]	[]	[]	0.570767586577	0.529750054176	0.514918415558	0.531712981262	0.571362474358	[]	[]	[]
7	1	[]	[]	[]	0.609122780248	0.557374971479	0.564187836681	0.558860560314	0.609161032073	[]	[]	[]
8	0	[]	[]	[]	[]	0.53891313732	0.549089990596	0.542072985223	[]	[]	[]	[]
8	1	[]	[]	[]	[]	0.596543897511	0.60336196512	0.598329283847	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	0.574344086795	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	0.650987644439	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
