a\c	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	0.590622195747	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	0.556531352442	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	0.616116379105	0.559317865932	0.614151719055	[]	[]	[]	[]
3	1	[]	[]	[]	[]	0.572812824517	0.524636153327	0.571657324857	[]	[]	[]	[]
4	0	[]	[]	[]	0.670379800322	0.585204022096	0.533472393401	0.583832610848	0.669530720088	[]	[]	[]
4	1	[]	[]	[]	0.611936934028	0.556745793786	0.526957690395	0.555797831855	0.611428412033	[]	[]	[]
5	0	[]	[]	0.779615047191	0.633964307428	0.563696680098	0.537097841791	0.562978710298	0.633501643015	0.779424332603	[]	[]
5	1	[]	[]	0.698093209227	0.602797852811	0.557243143694	0.531616510265	0.556688491025	0.602399460928	0.697798498864	[]	[]
6	0	[]	[]	[]	0.611575898691	0.561911705261	0.54126423019	0.561796829911	0.611484056429	[]	[]	[]
6	1	[]	[]	[]	0.624305983563	0.568453648865	0.553750296964	0.568414576648	0.623933634635	[]	[]	[]
7	0	[]	[]	[]	[]	0.565988447441	0.551083548835	0.566598883445	[]	[]	[]	[]
7	1	[]	[]	[]	[]	0.600915477195	0.582547381811	0.601239901575	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	0.565103887409	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	0.628317716779	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
