b\a	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	0.779391885738	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	0.697093315854	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	0.668822057196	0.633539847871	0.612109842045	[]	[]	[]	[]
2	1	[]	[]	[]	[]	0.607535599218	0.59954239089	0.623585288996	[]	[]	[]	[]
3	0	[]	[]	[]	0.614151719055	0.583832610848	0.562978710298	0.561796829911	0.566598883445	[]	[]	[]
3	1	[]	[]	[]	0.571657324857	0.555797831855	0.556688491025	0.568414576648	0.601239901575	[]	[]	[]
4	0	[]	[]	0.582972876905	0.55093218931	0.525949841826	0.522163848996	0.525023434555	0.531712981262	0.542072985223	[]	[]
4	1	[]	[]	0.556081526348	0.530937914473	0.522695784546	0.526260045004	0.539034266249	0.558860560314	0.598329283847	[]	[]
5	0	[]	0.57259594	0.542606468857	0.512791569999	0.502012033502	0.498353776371	0.502209199531	0.51092461296	0.52082302539	0.538313887804	[]
5	1	[]	0.577061461842	0.543898298963	0.527004088551	0.519558501699	0.52200505492	0.53244871805	0.549035493483	0.591613768504	0.650073315818	[]
6	0	[]	[]	0.55315784755	0.532857102723	0.524104132238	0.519703071927	0.519919644411	0.523563043381	0.533597889229	[]	[]
6	1	[]	[]	0.577485876704	0.556386467078	0.547276526643	0.546744918942	0.554759264449	0.590023813541	0.647533116086	[]	[]
7	0	[]	[]	[]	0.575985248376	0.560817859338	0.556143245273	0.553919024651	0.558093094695	[]	[]	[]
7	1	[]	[]	[]	0.595244870703	0.580493875966	0.579468748257	0.606849038397	0.658943055189	[]	[]	[]
8	0	[]	[]	[]	[]	0.616099887564	0.601191898828	0.602383841131	[]	[]	[]	[]
8	1	[]	[]	[]	[]	0.626849360751	0.642390973866	0.689398545928	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	0.701216770044	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	0.780308077828	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
