c\b	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	0.589490641229	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	0.669595005028	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	0.570767586577	0.549706146724	0.565304342014	[]	[]	[]	[]
3	1	[]	[]	[]	[]	0.609122780248	0.603129898147	0.661361567993	[]	[]	[]	[]
4	0	[]	[]	[]	0.565988447441	0.529750054176	0.507479906574	0.520319403386	0.555822393959	[]	[]	[]
4	1	[]	[]	[]	0.600915477195	0.557374971479	0.547676340729	0.588637324094	0.658127636814	[]	[]	[]
5	0	[]	[]	0.581621315261	0.551083548835	0.514918415558	0.467806845764	0.4818167029	0.527033104166	0.565467265933	[]	[]
5	1	[]	[]	0.621163745529	0.582547381811	0.564187836681	0.52990084642	0.54877112274	0.597040070563	0.664789415075	[]	[]
6	0	[]	[]	[]	0.566598883445	0.531712981262	0.51092461296	0.523563043381	0.558093094695	[]	[]	[]
6	1	[]	[]	[]	0.601239901575	0.558860560314	0.549035493483	0.590023813541	0.658943055189	[]	[]	[]
7	0	[]	[]	[]	[]	0.571362474358	0.550663167822	0.566561179294	[]	[]	[]	[]
7	1	[]	[]	[]	[]	0.609161032073	0.603430405223	0.661726725205	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	0.589779334416	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	0.669463969937	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
