b\a	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	0.779879506822	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	0.69780463419	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	0.669833945614	0.634280989429	0.612497487639	[]	[]	[]	[]
2	1	[]	[]	[]	[]	0.608381811396	0.600248352968	0.624191103414	[]	[]	[]	[]
3	0	[]	[]	[]	0.616116379105	0.585204022096	0.563696680098	0.561911705261	0.565988447441	[]	[]	[]
3	1	[]	[]	[]	0.572812824517	0.556745793786	0.557243143694	0.568453648865	0.600915477195	[]	[]	[]
4	0	[]	[]	0.587024592207	0.553826992912	0.527679910989	0.522761842258	0.524315526516	0.529750054176	0.53891313732	[]	[]
4	1	[]	[]	0.557763067527	0.532536889695	0.523864472315	0.526564746303	0.538359304734	0.557374971479	0.596543897511	[]	[]
5	0	[]	0.579239878868	0.547529888264	0.516121038341	0.503808286983	0.498330840383	0.500349037222	0.507479906574	0.516140763796	0.532640559493	[]
5	1	[]	0.579570820217	0.546144910484	0.528939140816	0.52085059914	0.522370431692	0.53184396738	0.547676340729	0.58972866898	0.648605024134	[]
6	0	[]	[]	0.556318388463	0.534606242116	0.524525693117	0.518752018995	0.517709074006	0.520319403386	0.529481890912	[]	[]
6	1	[]	[]	0.577976356438	0.556609521581	0.547127533255	0.546166743759	0.553778431528	0.588637324094	0.646437405856	[]	[]
7	0	[]	[]	[]	0.576197583337	0.560274885282	0.554940884108	0.552151704823	0.555822393959	[]	[]	[]
7	1	[]	[]	[]	0.594548797591	0.57968481626	0.578554617512	0.605794649636	0.658127636814	[]	[]	[]
8	0	[]	[]	[]	[]	0.615251881705	0.600092309635	0.601047722328	[]	[]	[]	[]
8	1	[]	[]	[]	[]	0.626042962153	0.641563966652	0.688742567042	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	0.700388231796	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	0.779911207043	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
