a\c	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	0.0914750580702	[]	[]
1	1	[]	[]	0.25568746248	[]	[]
1	2	[]	[]	-0.585519076279	[]	[]
1	3	[]	[]	-0.319665923022	[]	[]
2	0	[]	-1.21356386802	-0.860411959317	-1.09017943483	[]
2	1	[]	-0.775830802209	-0.881172952414	-1.08436264008	[]
2	2	[]	-1.89608974066	-0.617539169191	-1.11509196937	[]
2	3	[]	-0.991042183709	-3.66231219745	-0.328316323611	[]
3	0	[]	[]	0.0717185164431	[]	[]
3	1	[]	[]	0.299900347199	[]	[]
3	2	[]	[]	-0.52289151228	[]	[]
3	3	[]	[]	-0.303090512675	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
