a\c	mol	0	1	2	3	4
0	0	[]	[]	2.98652174109	[]	[]
0	1	[]	[]	2.9247764191	[]	[]
0	2	[]	[]	2.97624668306	[]	[]
0	3	[]	[]	2.98613370726	[]	[]
1	0	[]	2.48311737853	2.36473023236	2.82696702822	[]
1	1	[]	2.7862038286	2.2870859561	2.36996541786	[]
1	2	[]	2.82564932237	2.31057107916	2.3851459543	[]
1	3	[]	2.41508724074	2.26131132654	2.77470250309	[]
2	0	2.64156240243	1.81257226804	0.0	1.95123093568	3.04067725861
2	1	2.95710174914	2.47130193721	0.984141250039	0.972337199564	2.56109360706
2	2	2.76914647106	2.23162166663	2.11268769229	2.15776043294	2.42500455019
2	3	2.3435679522	2.09513783779	2.08219566108	2.22972396286	2.83976935205
3	0	[]	2.46936946526	2.36483964158	2.84106783991	[]
3	1	[]	2.7660191708	2.27590457028	2.37356704427	[]
3	2	[]	2.83287586602	2.37003571111	2.47542211413	[]
3	3	[]	2.43413651581	2.32479105284	2.8498218349	[]
4	0	[]	[]	2.98435662442	[]	[]
4	1	[]	[]	2.91931765862	[]	[]
4	2	[]	[]	2.98039720883	[]	[]
4	3	[]	[]	2.99225409838	[]	[]
