b\a	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	2.84478752906	[]	[]
1	1	[]	[]	1.40623787941	[]	[]
1	2	[]	[]	2.36978409128	[]	[]
1	3	[]	[]	2.62292904588	[]	[]
2	0	[]	2.82696702822	1.95123093568	2.84106783991	[]
2	1	[]	2.36996541786	0.972337199564	2.37356704427	[]
2	2	[]	2.3851459543	2.15776043294	2.47542211413	[]
2	3	[]	2.77470250309	2.22972396286	2.8498218349	[]
3	0	[]	[]	2.61578921384	[]	[]
3	1	[]	[]	2.24810899578	[]	[]
3	2	[]	[]	2.30047248804	[]	[]
3	3	[]	[]	2.79512504024	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
