a\c	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	2.92355001203	[]	[]
1	1	[]	[]	2.70634095188	[]	[]
1	2	[]	[]	2.87480270287	[]	[]
1	3	[]	[]	2.6974019262	[]	[]
2	0	[]	2.37192447721	1.81831282013	2.84478752906	[]
2	1	[]	2.55146183005	1.22651669287	1.40623787941	[]
2	2	[]	2.70933302811	2.23899612816	2.36978409128	[]
2	3	[]	2.19263773473	2.10373712227	2.62292904588	[]
3	0	[]	[]	2.93091798991	[]	[]
3	1	[]	[]	2.70117359449	[]	[]
3	2	[]	[]	2.92637077576	[]	[]
3	3	[]	[]	2.789378142	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
