c\b	mol	0	1	2	3	4
0	0	[]	[]	2.64156240243	[]	[]
0	1	[]	[]	2.95710174914	[]	[]
0	2	[]	[]	2.76914647106	[]	[]
0	3	[]	[]	2.3435679522	[]	[]
1	0	[]	2.37192447721	1.81257226804	2.30444559566	[]
1	1	[]	2.55146183005	2.47130193721	2.86752282586	[]
1	2	[]	2.70933302811	2.23162166663	2.59982085038	[]
1	3	[]	2.19263773473	2.09513783779	2.34410727226	[]
2	0	2.90583087242	1.81831282013	0.0	1.68579963892	2.7612227461
2	1	2.6360004058	1.22651669287	0.984141250039	2.1780151031	2.88872536621
2	2	2.8711071144	2.23899612816	2.11268769229	2.17898620225	2.75388763664
2	3	2.72931938191	2.10373712227	2.08219566108	2.24519546217	2.92900766617
3	0	[]	2.84478752906	1.95123093568	2.61578921384	[]
3	1	[]	1.40623787941	0.972337199564	2.24810899578	[]
3	2	[]	2.36978409128	2.15776043294	2.30047248804	[]
3	3	[]	2.62292904588	2.22972396286	2.79512504024	[]
4	0	[]	[]	3.04067725861	[]	[]
4	1	[]	[]	2.56109360706	[]	[]
4	2	[]	[]	2.42500455019	[]	[]
4	3	[]	[]	2.83976935205	[]	[]
