c\b	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	2.46936946526	[]	[]
1	1	[]	[]	2.7660191708	[]	[]
1	2	[]	[]	2.83287586602	[]	[]
1	3	[]	[]	2.43413651581	[]	[]
2	0	[]	2.93091798991	2.36483964158	2.79057714581	[]
2	1	[]	2.70117359449	2.27590457028	2.86469532085	[]
2	2	[]	2.92637077576	2.37003571111	2.78995579826	[]
2	3	[]	2.789378142	2.32479105284	2.94542999341	[]
3	0	[]	[]	2.84106783991	[]	[]
3	1	[]	[]	2.37356704427	[]	[]
3	2	[]	[]	2.47542211413	[]	[]
3	3	[]	[]	2.8498218349	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
