

'=============================================================

 C60/C60_cation_neut_inner6_outer0/ReorgPlanes_shareq/C60_cation_neut_inner6_outer0_reorgs_shareq_planes_CENTRE_a.dat 

c\b	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
1	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	1.26986012921	1.23925952315	1.22364420666	1.23381773462	1.26378336385	[]	[]	[]	[]
4	1	[]	[]	[]	[]	1.25375567203	1.20926153634	1.18612567248	1.20824262848	1.25083300901	[]	[]	[]	[]
4	2	[]	[]	[]	[]	1.23369046753	1.18556529087	1.18612437112	1.2245938672	1.26545921926	[]	[]	[]	[]
4	3	[]	[]	[]	[]	1.2537579228	1.22623991344	1.23189069861	1.25308896826	1.27998975305	[]	[]	[]	[]
5	0	[]	[]	[]	[]	1.23925259434	1.17490722347	1.08405648238	1.14862791947	1.23354390692	[]	[]	[]	[]
5	1	[]	[]	[]	[]	1.22622971984	1.10956160295	0.906557638667	1.1090554931	1.22494894937	[]	[]	[]	[]
5	2	[]	[]	[]	[]	1.18555780373	0.988420643242	0.906553364962	1.16648981631	1.24800714131	[]	[]	[]	[]
5	3	[]	[]	[]	[]	1.20925820542	1.10957490112	1.15835719519	1.22219513618	1.26026784511	[]	[]	[]	[]
6	0	[]	[]	[]	[]	1.22363079541	1.08402977321	0.0	1.08363934747	1.22268062658	[]	[]	[]	[]
6	1	[]	[]	[]	[]	1.23187861973	1.15833822944	0.656661084747	1.15795362123	1.23093336674	[]	[]	[]	[]
6	2	[]	[]	[]	[]	1.18611543488	0.906570556103	0.656641237126	1.21596422301	1.25394113941	[]	[]	[]	[]
6	3	[]	[]	[]	[]	1.18611539119	0.906564236422	0.656592816572	1.21596164715	1.25394136685	[]	[]	[]	[]
7	0	[]	[]	[]	[]	1.23381090039	1.14862798502	1.08366612212	1.17382447263	1.23673552772	[]	[]	[]	[]
7	1	[]	[]	[]	[]	1.25308598541	1.22220448015	1.21599564703	1.22163486204	1.25159359646	[]	[]	[]	[]
7	2	[]	[]	[]	[]	1.22459477578	1.16651064156	1.21599388547	1.24844219704	1.26828872475	[]	[]	[]	[]
7	3	[]	[]	[]	[]	1.20823933207	1.10906874948	1.15797241729	1.22162551874	1.25904308161	[]	[]	[]	[]
8	0	[]	[]	[]	[]	1.26378347723	1.2335509142	1.22269415206	1.23674250382	1.26318760859	[]	[]	[]	[]
8	1	[]	[]	[]	[]	1.27999198149	1.26027703958	1.25395599171	1.25905222651	1.27625468514	[]	[]	[]	[]
8	2	[]	[]	[]	[]	1.26546358705	1.24801916759	1.25395507366	1.26829469766	1.28761214585	[]	[]	[]	[]
8	3	[]	[]	[]	[]	1.250835347	1.22495920647	1.23094550161	1.2515966559	1.27625255761	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]

'=============================================================

 C60/C60_cation_neut_inner6_outer0/ReorgPlanes_shareq/C60_cation_neut_inner6_outer0_reorgs_shareq_planes_CENTRE_c.dat 

b\a	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	1.39955941925	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	1	[]	[]	[]	1.34347833493	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	2	[]	[]	[]	1.37154831577	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	3	[]	[]	[]	1.37155151782	[]	[]	[]	[]	[]	[]	[]	[]	[]
4	0	[]	[]	[]	1.31289582701	1.26986113636	1.23925514148	1.22363469806	1.2338135872	1.26378469048	[]	[]	[]	[]
4	1	[]	[]	[]	1.27955828474	1.23369210371	1.18556072452	1.1861193428	1.22459717589	1.26546504539	[]	[]	[]	[]
4	2	[]	[]	[]	1.29452275138	1.25375596379	1.22623156578	1.23188145457	1.25308741763	1.2799921323	[]	[]	[]	[]
4	3	[]	[]	[]	1.29741815002	1.25375834929	1.20925954883	1.18611799774	1.20824103152	1.25083607936	[]	[]	[]	[]
5	0	[]	[]	[]	[]	1.23926005265	1.17490988751	1.08403748347	1.14863038106	1.23355159349	[]	[]	[]	[]
5	1	[]	[]	[]	[]	1.18556602773	0.988420595624	0.90656981588	1.16651112973	1.24802002239	[]	[]	[]	[]
5	2	[]	[]	[]	[]	1.20926108165	1.10956276291	1.15834345709	1.22220534952	1.2602767129	[]	[]	[]	[]
5	3	[]	[]	[]	[]	1.22623953583	1.10957293676	0.906559222495	1.10906745275	1.2249591247	[]	[]	[]	[]
6	0	[]	[]	[]	[]	1.22364420666	1.08405648238	0.0	1.08366612212	1.22269415206	[]	[]	[]	[]
6	1	[]	[]	[]	[]	1.18612567248	0.906557638667	0.656661084747	1.21599564703	1.25395599171	[]	[]	[]	[]
6	2	[]	[]	[]	[]	1.18612437112	0.906553364962	0.656641237126	1.21599388547	1.25395507366	[]	[]	[]	[]
6	3	[]	[]	[]	[]	1.23189069861	1.15835719519	0.656592816572	1.15797241729	1.23094550161	[]	[]	[]	[]
7	0	[]	[]	[]	[]	1.23381843201	1.14863033446	1.08364707648	1.17382715549	1.23674305348	[]	[]	[]	[]
7	1	[]	[]	[]	[]	1.22459653269	1.16649637837	1.21597463595	1.24844632002	1.26829639485	[]	[]	[]	[]
7	2	[]	[]	[]	[]	1.20824245706	1.1090569656	1.15795804137	1.22163516309	1.25905167213	[]	[]	[]	[]
7	3	[]	[]	[]	[]	1.25309023209	1.22219928785	1.21597029854	1.2216293154	1.25159770258	[]	[]	[]	[]
8	0	[]	[]	[]	[]	1.26378461283	1.23354662683	1.22268456219	1.23673810845	1.2631886657	[]	[]	[]	[]
8	1	[]	[]	[]	[]	1.2654619542	1.24801150413	1.25394612143	1.26829216386	1.28761412284	[]	[]	[]	[]
8	2	[]	[]	[]	[]	1.25083356359	1.22495096418	1.23093602884	1.25159471869	1.27625461771	[]	[]	[]	[]
8	3	[]	[]	[]	[]	1.27999129296	1.26027091222	1.25394543083	1.25904595853	1.27625390321	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]

'=============================================================

 C8_BTBT/C8_BTBT_cation_neut_inner6_outer0/ReorgPlanes_shareq/C8_BTBT_cation_neut_inner6_outer0_reorgs_shareq_planes_CENTRE_a.dat 

c\b	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
