b\a	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	0.117014989408	[]	[]
1	1	[]	[]	-1.71432780535	[]	[]
1	2	[]	[]	-1.33014914332	[]	[]
1	3	[]	[]	-0.0685776838938	[]	[]
2	0	[]	0.00799756055854	-0.997014593055	-0.00513071065715	[]
2	1	[]	-0.463164166861	-2.23177284163	-0.468502034566	[]
2	2	[]	-0.0465652465388	-1.48698835034	0.0102600365403	[]
2	3	[]	-0.0774562130132	0.0610248068177	-0.0658434984778	[]
3	0	[]	[]	-1.09017943483	[]	[]
3	1	[]	[]	-1.08436264008	[]	[]
3	2	[]	[]	-1.11509196937	[]	[]
3	3	[]	[]	-0.328316323611	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
