a\c	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	[]	0.609800702293	[]	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	[]	0.585996131829	[]	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	[]	0.636437791383	0.583659457065	0.635520744015	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]	0.598168730155	0.566573765651	0.597474502798	[]	[]	[]	[]	[]
5	0	[]	[]	[]	[]	0.686758708837	0.607605872767	0.563091011994	0.606886100853	0.686128702654	[]	[]	[]	[]
5	1	[]	[]	[]	[]	0.628236731646	0.583460704502	0.56443533967	0.582892177071	0.627698609148	[]	[]	[]	[]
6	0	[]	[]	[]	0.79465655401	0.650563907654	0.587092183913	0.562677947675	0.586627409759	0.650122231008	0.794456278685	[]	[]	[]
6	1	[]	[]	[]	0.712053111407	0.619038115638	0.583113153424	0.567118054762	0.582754597757	0.618585509856	0.711705204854	[]	[]	[]
7	0	[]	[]	[]	[]	0.628172896862	0.584692409616	0.564066788836	0.584476879314	0.627941226325	[]	[]	[]	[]
7	1	[]	[]	[]	[]	0.640244933354	0.591766109043	0.576672372607	0.591685015636	0.639832448828	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	0.586954990671	0.566905772123	0.587067783993	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	0.621029064851	0.592948588051	0.621201896591	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	0.573092507144	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	0.629167010363	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
