b\a	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	0.797622319794	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	0.755820529687	0.730589177369	0.730381983621	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	0.796655881616	0.755999702737	0.706456115966	0.671882577077	0.696951083032	[]	[]	[]	[]
3	0	[]	[]	[]	0.794052307757	0.772955060984	0.722489765846	0.659066644517	0.606476611175	0.62507514855	0.668717066321	[]	[]	[]
4	0	[]	[]	0.799530950084	0.761981671344	0.706237141827	0.630165729332	0.551717854012	0.505482678744	0.562221147477	0.624909028118	0.690954454856	[]	[]
5	0	[]	0.819911649202	0.794580513265	0.729488775314	0.630977006476	0.482997115268	0.292220912815	0.331789835277	0.491166154824	0.594190722715	0.664643033227	0.718642268766	[]
6	0	0.813503887069	0.77639523384	0.737627544289	0.663236993346	0.537498823878	0.261788384287	0.0	0.261788384287	0.537498823878	0.663236993346	0.737627544289	0.77639523384	0.813503887069
7	0	[]	0.718642268766	0.664643033227	0.594190722715	0.491166154824	0.331789835277	0.292220912815	0.482997115268	0.630977006476	0.729488775314	0.794580513265	0.819911649202	[]
8	0	[]	[]	0.690954454856	0.624909028118	0.562221147477	0.505482678744	0.551717854012	0.630165729332	0.706237141827	0.761981671344	0.799530950084	[]	[]
9	0	[]	[]	[]	0.668717066321	0.62507514855	0.606476611175	0.659066644517	0.722489765846	0.772955060984	0.794052307757	[]	[]	[]
10	0	[]	[]	[]	[]	0.696951083032	0.671882577077	0.706456115966	0.755999702737	0.796655881616	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	0.730381983621	0.730589177369	0.755820529687	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	0.797622319794	[]	[]	[]	[]	[]	[]
