[[-0.81099218 -0.36959425  0.3863902 ]]
[[-2.4604129   1.80379283  0.02734092]]
[[-0.00621808 -1.84354994  0.49232838]]
[[ 2.16966893 -1.43437792 -0.07202613]]
[[ 0.07277642  0.09022395 -0.55879163]]
[[ 0.13001691  0.1828663  -0.32181118]]
[[ -6.95167575e-09  -2.32499866e-08   2.48691576e-08]]
[[ 1.39896214  1.90370745 -0.91378614]]
[[-0.07277643 -0.09022398  0.55879165]]
[[-0.15728881 -0.2269013   0.61575852]]
[[ 0.00621806  1.84354989 -0.49232833]]
[[ 0.08437717  0.71887318 -0.24033944]]
[[ 0.81099216  0.3695942  -0.38639014]]
[[ 0.33957095  0.16662088 -0.13120252]]
