[[ -2.27189981e-08  -2.92563287e-08   4.21916070e-08]]
[[ 1.39896212  1.90370746 -0.91378613]]
[[ 0.40370208 -0.23104465 -0.08200357]]
[[ 0.39471927 -0.07065693 -0.07145462]]
[[ 0.08234186  0.06512766 -0.29277657]]
[[ 0.09527137  0.0916829  -0.16283636]]
[[ 0.81099214  0.3695942  -0.38639013]]
[[ 0.33957093  0.16662087 -0.13120251]]
[[ 0.0306944  -0.05702966  0.63773246]]
[[-0.00551755 -0.16859288  0.46737708]]
[[ 0.40650604  0.60028153 -0.30401299]]
[[ 0.15878257  0.22581767 -0.10670356]]
[[ 0.20274802  0.09239852 -0.09659749]]
[[ 0.13560501  0.04634828 -0.04620353]]
