[[  2.35991228e-04   1.90619917e-20  -1.10248316e-19]]
[[  3.86258618e+00   6.78120993e-16   1.61851365e-15]]
[[  3.74622921e+00   7.72739216e-17  -1.84423590e-15]]
[[  3.74622921e+00   9.96003194e-16   1.09958737e-15]]
[[  6.39182385e+00   2.30357526e-15  -5.66181955e-17]]
[[  2.47118534e-04  -3.75193524e-19  -4.04343722e-19]]
[[  2.47118534e-04  -2.19402244e-19   1.40363941e-19]]
[[  3.86258618e+00   6.57962602e-16  -1.16538113e-15]]
[[  2.35991228e-04   6.97354859e-20   1.01529644e-19]]
[[ -5.99994672e-04  -2.40655552e-17   6.43245357e-18]]
[[ -5.76072687e-02  -1.22464783e-16   2.76750717e-16]]
[[ -3.18970034e-04   1.67407025e-16   1.63050949e-16]]
[[ -4.78140507e-02   7.32023553e-16   6.37499459e-18]]
[[ -5.71633410e-04  -2.18958667e-16  -3.25011809e-16]]
[[ -5.71633410e-04  -1.25654504e-16   1.86302521e-16]]
[[ -5.76072687e-02  -9.49523131e-17  -1.85247401e-16]]
[[ -3.18970034e-04   1.54844598e-16  -1.50848612e-16]]
[[ -5.99994672e-04   1.01941511e-17   3.09775364e-18]]
