a\c	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	6.88687141362	[]	[]
1	1	[]	[]	3.3730814775	[]	[]
1	2	[]	[]	5.98104969115	[]	[]
1	3	[]	[]	3.33130238001	[]	[]
2	0	[]	7.06333879407	1.89549777099	-0.0758569061631	[]
2	1	[]	4.75087866325	4.6806011393	3.19440605975	[]
2	2	[]	-0.453903662016	3.36759511593	3.1645293855	[]
2	3	[]	2.82272103332	3.09936082658	4.50925685187	[]
3	0	[]	[]	6.4127788032	[]	[]
3	1	[]	[]	3.45624736062	[]	[]
3	2	[]	[]	5.29862996257	[]	[]
3	3	[]	[]	3.3030362502	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
