a\c	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	3.01964799638	[]	[]
1	1	[]	[]	6.0123516122	[]	[]
1	2	[]	[]	3.10160419432	[]	[]
1	3	[]	[]	6.42652226048	[]	[]
2	0	[]	0.574897339301	0.573866684751	3.52231061966	[]
2	1	[]	4.94995408694	3.46564555425	1.55690628575	[]
2	2	[]	4.13784254414	1.12881591599	1.60964550641	[]
2	3	[]	1.78066989891	3.31464607873	1.20782526875	[]
3	0	[]	[]	3.01936588071	[]	[]
3	1	[]	[]	5.59550435351	[]	[]
3	2	[]	[]	3.25811089162	[]	[]
3	3	[]	[]	5.69168993058	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
