c\b	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	7.33528226118	[]	[]
1	1	[]	[]	4.52205296698	[]	[]
1	2	[]	[]	4.58951400764	[]	[]
1	3	[]	[]	6.24526122868	[]	[]
2	0	[]	3.01936588071	2.4545413335	6.4127788032	[]
2	1	[]	5.59550435351	3.8966319668	3.45624736062	[]
2	2	[]	3.25811089162	3.57463662874	5.29862996257	[]
2	3	[]	5.69168993058	2.60913045177	3.3030362502	[]
3	0	[]	[]	5.39867201101	[]	[]
3	1	[]	[]	4.20564958175	[]	[]
3	2	[]	[]	4.41798380194	[]	[]
3	3	[]	[]	5.22201160539	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
