[[ -5.86307122e-06   1.25244435e-05  -1.16653242e-05]]
[[  3.62429494e-06   6.65327080e-06  -2.55474298e-06]]
[[  2.45524949e-06   2.32082975e-06  -3.70945367e-06]]
[[ 0.00364633  0.05448507  0.00033037]]
[[  7.37052539e-05   3.74311167e-02  -6.12707442e-03]]
[[  5.36220988e-05   2.44119574e-04   6.09352636e-05]]
[[ 0.00775958  0.02148881  0.01676111]]
[[ 0.0032561   0.07939797  0.01028283]]
[[  3.97715826e-04   3.69897747e-03   8.76847233e-05]]
[[  3.38556701e-06   9.79624072e-04   1.72645925e-04]]
[[-0.00276982  0.01892923 -0.00990751]]
[[ -1.40561382e-04   1.72531837e-03  -4.07251381e-05]]
[[-0.00032201  0.07559429 -0.0174977 ]]
[[ 0.00334251  0.10100369  0.0002002 ]]
[[-0.02595353  0.02760817  0.00882764]]
[[-0.00096336  0.00314379 -0.00013514]]
[[-0.00093471  0.05686278  0.02134038]]
[[ 0.0006965   0.08633203  0.00242226]]
[[ -2.62242478e-04   2.20088511e-03   1.78277064e-05]]
[[ 0.00681669  0.01878978  0.0322289 ]]
[[ 0.00599364  0.0715658   0.01195099]]
[[ 0.01005939  0.02045277  0.05778306]]
[[ 0.02132183  0.02910505  0.01474128]]
[[  1.36292677e-03   5.19776038e-03   5.99459070e-05]]
[[-0.00798705  0.09216152  0.00209872]]
[[ 0.00416394  0.06521473  0.00399192]]
[[-0.00253775  0.0774084   0.05025371]]
[[ -1.21409084e-03   1.78703771e-03   5.11339246e-05]]
[[-0.05776062  0.03746039  0.00704651]]
[[ 0.01581616  0.0243553  -0.00738451]]
[[  1.03133777e-03   3.67085595e-03   3.16333794e-05]]
[[-0.00087564  0.09543277 -0.04876269]]
[[-0.00249578  0.00574236 -0.00031371]]
[[-0.00599717  0.09802877 -0.00285918]]
[[ 0.00294428  0.06711933 -0.01943151]]
[[-0.01544649  0.02023123 -0.05116526]]
[[ 0.01182195  0.01851479 -0.01909933]]
[[  4.70133736e-04   2.64990508e-03   4.08834241e-06]]
[[ -4.04475404e-05   3.61001684e-02  -3.92999658e-02]]
[[-0.00034676  0.00215574 -0.00015286]]
[[ 0.00596759  0.05088472 -0.00274861]]
[[  7.31616330e-06   9.68873425e-04  -5.17904762e-04]]
[[ 0.00016901  0.00019382 -0.00082742]]
[[ 0.11163658  0.20963982 -0.00996924]]
[[-0.00816362  0.14946281  0.31192618]]
[[ 0.41552369 -0.23834151 -2.79405399]]
[[-0.26760149  0.63541046  4.67804444]]
[[-3.36076518 -4.75335953 -7.25321288]]
[[ -7.31513197  -5.3571675   20.27416593]]
