c\b	mol	0	1	2	3	4
0	0	[]	[]	14.1029461548	[]	[]
0	1	[]	[]	14.1012402194	[]	[]
1	0	[]	13.8963038344	13.4806959776	14.0578583606	[]
1	1	[]	13.9391512235	13.5619641243	13.9736980964	[]
2	0	13.9846652658	12.8719414012	0.0	14.2652886872	13.9936918795
2	1	13.9270013763	13.6954216277	1.12783485318	13.6403282012	14.2888025452
3	0	[]	13.8521948021	13.5042198712	14.0117516748	[]
3	1	[]	13.9775762124	13.5271394936	14.0308976665	[]
4	0	[]	[]	14.0934159442	[]	[]
4	1	[]	[]	14.1096101155	[]	[]
