a\c	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
1	0	[]	[]	14.5358945854	[]	[]
1	1	[]	[]	14.59996441	[]	[]
2	0	[]	14.0578583606	14.2652886872	14.0117516748	[]
2	1	[]	13.9736980964	13.6403282012	14.0308976665	[]
3	0	[]	[]	13.3045822381	[]	[]
3	1	[]	[]	13.9885962912	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
