b\a	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
1	0	[]	[]	13.8963038344	[]	[]
1	1	[]	[]	13.9391512235	[]	[]
2	0	[]	14.4329838412	13.4806959776	14.222908522	[]
2	1	[]	14.1921619765	13.5619641243	14.6871718912	[]
3	0	[]	[]	14.0578583606	[]	[]
3	1	[]	[]	13.9736980964	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
